data_size, python_runtime
2.000000000000000000e+01,2.359724044799804688e-02
5.000000000000000000e+01,7.112836837768554688e-02
1.000000000000000000e+02,2.477886676788330078e-01
1.500000000000000000e+02,5.347173213958740234e-01
2.000000000000000000e+02,1.054800987243652344e+00
2.500000000000000000e+02,1.487111806869506836e+00
3.000000000000000000e+02,2.497319936752319336e+00
4.000000000000000000e+02,4.670325756072998047e+00
5.000000000000000000e+02,6.837590456008911133e+00
6.000000000000000000e+02,9.521799325942993164e+00
7.000000000000000000e+02,1.529394721984863281e+01
8.000000000000000000e+02,1.950560593605041504e+01
9.000000000000000000e+02,2.372156190872192383e+01
1.000000000000000000e+03,2.861801695823669434e+01
